stimulus_id,base_id,onset,medial,nucleus,coda,ipa,pinyin,pinyin_number,ascii,tone,is_attested,is_rare,rarity,source_row,original_line_number
ri1,ri,ʐ,,ɻ̩,,ʐɻ̩,rī,ri1,ri,1,unknown,True,rare,0,2
ri2,ri,ʐ,,ɻ̩,,ʐɻ̩,rí,ri2,ri,2,unknown,True,rare,0,2
ri3,ri,ʐ,,ɻ̩,,ʐɻ̩,rǐ,ri3,ri,3,unknown,True,rare,0,2
ri4,ri,ʐ,,ɻ̩,,ʐɻ̩,rì,ri4,ri,4,unknown,True,rare,0,2
ri5,ri,ʐ,,ɻ̩,,ʐɻ̩,ri,ri5,ri,5,unknown,True,rare,0,2
yi1,yi,,,i,,i,yī,yi1,yi,1,unknown,False,common,1,3
yi2,yi,,,i,,i,yí,yi2,yi,2,unknown,False,common,1,3
yi3,yi,,,i,,i,yǐ,yi3,yi,3,unknown,False,common,1,3
yi4,yi,,,i,,i,yì,yi4,yi,4,unknown,False,common,1,3
yi5,yi,,,i,,i,yi,yi5,yi,5,unknown,False,common,1,3
yin1,yin,,,i,n,in,yīn,yin1,yin,1,unknown,False,common,2,4
yin2,yin,,,i,n,in,yín,yin2,yin,2,unknown,False,common,2,4
yin3,yin,,,i,n,in,yǐn,yin3,yin,3,unknown,False,common,2,4
yin4,yin,,,i,n,in,yìn,yin4,yin,4,unknown,False,common,2,4
yin5,yin,,,i,n,in,yin,yin5,yin,5,unknown,False,common,2,4
ying1,ying,,,i,ŋ,iŋ,yīng,ying1,ying,1,unknown,False,common,3,5
ying2,ying,,,i,ŋ,iŋ,yíng,ying2,ying,2,unknown,False,common,3,5
ying3,ying,,,i,ŋ,iŋ,yǐng,ying3,ying,3,unknown,False,common,3,5
ying4,ying,,,i,ŋ,iŋ,yìng,ying4,ying,4,unknown,False,common,3,5
ying5,ying,,,i,ŋ,iŋ,ying,ying5,ying,5,unknown,False,common,3,5
wu1,wu,,,u,,u,wū,wu1,wu,1,unknown,False,common,4,6
wu2,wu,,,u,,u,wú,wu2,wu,2,unknown,False,common,4,6
wu3,wu,,,u,,u,wǔ,wu3,wu,3,unknown,False,common,4,6
wu4,wu,,,u,,u,wù,wu4,wu,4,unknown,False,common,4,6
wu5,wu,,,u,,u,wu,wu5,wu,5,unknown,False,common,4,6
yv1,yv,,,y,,y,yū,yu1,yv,1,unknown,False,common,5,8
yv2,yv,,,y,,y,yú,yu2,yv,2,unknown,False,common,5,8
yv3,yv,,,y,,y,yǔ,yu3,yv,3,unknown,False,common,5,8
yv4,yv,,,y,,y,yù,yu4,yv,4,unknown,False,common,5,8
yv5,yv,,,y,,y,yu,yu5,yv,5,unknown,False,common,5,8
yvn1,yvn,,,y,n,yn,yūn,yun1,yvn,1,unknown,False,common,6,9
yvn2,yvn,,,y,n,yn,yún,yun2,yvn,2,unknown,False,common,6,9
yvn3,yvn,,,y,n,yn,yǔn,yun3,yvn,3,unknown,False,common,6,9
yvn4,yvn,,,y,n,yn,yùn,yun4,yvn,4,unknown,False,common,6,9
yvn5,yvn,,,y,n,yn,yun,yun5,yvn,5,unknown,False,common,6,9
e1,e,,,ə,,ɤ,ē,e1,e,1,unknown,False,common,7,10
e2,e,,,ə,,ɤ,é,e2,e,2,unknown,False,common,7,10
e3,e,,,ə,,ɤ,ě,e3,e,3,unknown,False,common,7,10
e4,e,,,ə,,ɤ,è,e4,e,4,unknown,False,common,7,10
e5,e,,,ə,,ɤ,e,e5,e,5,unknown,False,common,7,10
ei1,ei,,,ə,i,ei,ēi,ei1,ei,1,unknown,False,common,8,11
ei2,ei,,,ə,i,ei,éi,ei2,ei,2,unknown,False,common,8,11
ei3,ei,,,ə,i,ei,ěi,ei3,ei,3,unknown,False,common,8,11
ei4,ei,,,ə,i,ei,èi,ei4,ei,4,unknown,False,common,8,11
ei5,ei,,,ə,i,ei,ei,ei5,ei,5,unknown,False,common,8,11
ou1,ou,,,ə,u,ou,ōu,ou1,ou,1,unknown,False,common,9,12
ou2,ou,,,ə,u,ou,óu,ou2,ou,2,unknown,False,common,9,12
ou3,ou,,,ə,u,ou,ǒu,ou3,ou,3,unknown,False,common,9,12
ou4,ou,,,ə,u,ou,òu,ou4,ou,4,unknown,False,common,9,12
ou5,ou,,,ə,u,ou,ou,ou5,ou,5,unknown,False,common,9,12
en1,en,,,ə,n,ən,ēn,en1,en,1,unknown,True,rare,10,13
en2,en,,,ə,n,ən,én,en2,en,2,unknown,True,rare,10,13
en3,en,,,ə,n,ən,ěn,en3,en,3,unknown,True,rare,10,13
en4,en,,,ə,n,ən,èn,en4,en,4,unknown,True,rare,10,13
en5,en,,,ə,n,ən,en,en5,en,5,unknown,True,rare,10,13
eng1,eng,,,ə,ŋ,əŋ,ēng,eng1,eng,1,unknown,False,common,11,14
eng2,eng,,,ə,ŋ,əŋ,éng,eng2,eng,2,unknown,False,common,11,14
eng3,eng,,,ə,ŋ,əŋ,ěng,eng3,eng,3,unknown,False,common,11,14
eng4,eng,,,ə,ŋ,əŋ,èng,eng4,eng,4,unknown,False,common,11,14
eng5,eng,,,ə,ŋ,əŋ,eng,eng5,eng,5,unknown,False,common,11,14
a1,a,,,a,,a,ā,a1,a,1,unknown,True,rare,12,15
a2,a,,,a,,a,á,a2,a,2,unknown,True,rare,12,15
a3,a,,,a,,a,ǎ,a3,a,3,unknown,True,rare,12,15
a4,a,,,a,,a,à,a4,a,4,unknown,True,rare,12,15
a5,a,,,a,,a,a,a5,a,5,unknown,True,rare,12,15
ai1,ai,,,a,i,ai,āi,ai1,ai,1,unknown,False,common,13,16
ai2,ai,,,a,i,ai,ái,ai2,ai,2,unknown,False,common,13,16
ai3,ai,,,a,i,ai,ǎi,ai3,ai,3,unknown,False,common,13,16
ai4,ai,,,a,i,ai,ài,ai4,ai,4,unknown,False,common,13,16
ai5,ai,,,a,i,ai,ai,ai5,ai,5,unknown,False,common,13,16
ao1,ao,,,a,u,au,āo,ao1,ao,1,unknown,False,common,14,17
ao2,ao,,,a,u,au,áo,ao2,ao,2,unknown,False,common,14,17
ao3,ao,,,a,u,au,ǎo,ao3,ao,3,unknown,False,common,14,17
ao4,ao,,,a,u,au,ào,ao4,ao,4,unknown,False,common,14,17
ao5,ao,,,a,u,au,ao,ao5,ao,5,unknown,False,common,14,17
an1,an,,,a,n,an,ān,an1,an,1,unknown,False,common,15,18
an2,an,,,a,n,an,án,an2,an,2,unknown,False,common,15,18
an3,an,,,a,n,an,ǎn,an3,an,3,unknown,False,common,15,18
an4,an,,,a,n,an,àn,an4,an,4,unknown,False,common,15,18
an5,an,,,a,n,an,an,an5,an,5,unknown,False,common,15,18
ang1,ang,,,a,ŋ,aŋ,āng,ang1,ang,1,unknown,True,rare,16,19
ang2,ang,,,a,ŋ,aŋ,áng,ang2,ang,2,unknown,True,rare,16,19
ang3,ang,,,a,ŋ,aŋ,ǎng,ang3,ang,3,unknown,True,rare,16,19
ang4,ang,,,a,ŋ,aŋ,àng,ang4,ang,4,unknown,True,rare,16,19
ang5,ang,,,a,ŋ,aŋ,ang,ang5,ang,5,unknown,True,rare,16,19
yong1,yong,,j,u,ŋ,juŋ,yōng,yong1,yong,1,unknown,False,common,17,20
yong2,yong,,j,u,ŋ,juŋ,yóng,yong2,yong,2,unknown,False,common,17,20
yong3,yong,,j,u,ŋ,juŋ,yǒng,yong3,yong,3,unknown,False,common,17,20
yong4,yong,,j,u,ŋ,juŋ,yòng,yong4,yong,4,unknown,False,common,17,20
yong5,yong,,j,u,ŋ,juŋ,yong,yong5,yong,5,unknown,False,common,17,20
ye1,ye,,j,ə,,jɛ,yē,ye1,ye,1,unknown,False,common,18,21
ye2,ye,,j,ə,,jɛ,yé,ye2,ye,2,unknown,False,common,18,21
ye3,ye,,j,ə,,jɛ,yě,ye3,ye,3,unknown,False,common,18,21
ye4,ye,,j,ə,,jɛ,yè,ye4,ye,4,unknown,False,common,18,21
ye5,ye,,j,ə,,jɛ,ye,ye5,ye,5,unknown,False,common,18,21
yo1,yo,,j,o,,jo,yō,yo1,yo,1,unknown,True,rare,19,22
yo2,yo,,j,o,,jo,yó,yo2,yo,2,unknown,True,rare,19,22
yo3,yo,,j,o,,jo,yǒ,yo3,yo,3,unknown,True,rare,19,22
yo4,yo,,j,o,,jo,yò,yo4,yo,4,unknown,True,rare,19,22
yo5,yo,,j,o,,jo,yo,yo5,yo,5,unknown,True,rare,19,22
you1,you,,j,ə,u,jou,yōu,you1,you,1,unknown,False,common,20,23
you2,you,,j,ə,u,jou,yóu,you2,you,2,unknown,False,common,20,23
you3,you,,j,ə,u,jou,yǒu,you3,you,3,unknown,False,common,20,23
you4,you,,j,ə,u,jou,yòu,you4,you,4,unknown,False,common,20,23
you5,you,,j,ə,u,jou,you,you5,you,5,unknown,False,common,20,23
ya1,ya,,j,a,,ja,yā,ya1,ya,1,unknown,False,common,21,24
ya2,ya,,j,a,,ja,yá,ya2,ya,2,unknown,False,common,21,24
ya3,ya,,j,a,,ja,yǎ,ya3,ya,3,unknown,False,common,21,24
ya4,ya,,j,a,,ja,yà,ya4,ya,4,unknown,False,common,21,24
ya5,ya,,j,a,,ja,ya,ya5,ya,5,unknown,False,common,21,24
yao1,yao,,j,a,u,jau,yāo,yao1,yao,1,unknown,False,common,22,25
yao2,yao,,j,a,u,jau,yáo,yao2,yao,2,unknown,False,common,22,25
yao3,yao,,j,a,u,jau,yǎo,yao3,yao,3,unknown,False,common,22,25
yao4,yao,,j,a,u,jau,yào,yao4,yao,4,unknown,False,common,22,25
yao5,yao,,j,a,u,jau,yao,yao5,yao,5,unknown,False,common,22,25
yan1,yan,,j,a,n,jɛn,yān,yan1,yan,1,unknown,False,common,23,26
yan2,yan,,j,a,n,jɛn,yán,yan2,yan,2,unknown,False,common,23,26
yan3,yan,,j,a,n,jɛn,yǎn,yan3,yan,3,unknown,False,common,23,26
yan4,yan,,j,a,n,jɛn,yàn,yan4,yan,4,unknown,False,common,23,26
yan5,yan,,j,a,n,jɛn,yan,yan5,yan,5,unknown,False,common,23,26
yang1,yang,,j,a,ŋ,jaŋ,yāng,yang1,yang,1,unknown,False,common,24,27
yang2,yang,,j,a,ŋ,jaŋ,yáng,yang2,yang,2,unknown,False,common,24,27
yang3,yang,,j,a,ŋ,jaŋ,yǎng,yang3,yang,3,unknown,False,common,24,27
yang4,yang,,j,a,ŋ,jaŋ,yàng,yang4,yang,4,unknown,False,common,24,27
yang5,yang,,j,a,ŋ,jaŋ,yang,yang5,yang,5,unknown,False,common,24,27
wo1,wo,,w,ə,,uo,wō,wo1,wo,1,unknown,False,common,25,28
wo2,wo,,w,ə,,uo,wó,wo2,wo,2,unknown,False,common,25,28
wo3,wo,,w,ə,,uo,wǒ,wo3,wo,3,unknown,False,common,25,28
wo4,wo,,w,ə,,uo,wò,wo4,wo,4,unknown,False,common,25,28
