onset,medial,nucleus,coda,ipa,pinyin,ascii
ʐ,,ɻ̩,,ʐɻ̩,ri,ri #!
,,i,,i,yi,yi
,,i,n,in,yin,yin
,,i,ŋ,iŋ,ying,ying
,,u,,u,wu,wu
#,,ʊ,ŋ,ʊŋ,ong,ong
,,y,,y,yu,yv
,,y,n,yn,yun,yvn
,,ə,,ɤ,e,e
,,ə,i,ei,ei,ei
,,ə,u,ou,ou,ou
,,ə,n,ən,en,en #!
,,ə,ŋ,əŋ,eng,eng
,,a,,a,a,a #!
,,a,i,ai,ai,ai
,,a,u,au,ao,ao
,,a,n,an,an,an
,,a,ŋ,aŋ,ang,ang #!
,j,ʊ,ŋ,jʊŋ,yong,yong
,j,ə,,jɛ,ye,ye
,j,o,,jo,yo,yo #!
,j,ə,u,jou,you,you
,j,a,,ja,ya,ya
,j,a,u,jau,yao,yao
,j,a,n,jɛn,yan,yan
,j,a,ŋ,jaŋ,yang,yang
,w,ə,,uo,wo,wo
,w,ə,i,uei,wei,wei
,w,ə,n,uən,wen,wen
,w,ə,ŋ,uəŋ,weng,weng #!
,w,a,,ua,wa,wa
,w,a,i,uai,wai,wai #!
,w,a,n,uan,wan,wan
,w,a,ŋ,uaŋ,wang,wang
,ɥ,ə,,yɛ,yue,yve
,ɥ,a,n,yɛn,yuan,yvan
#p,,,,p,b,b
p,,i,,pi,bi,bi
p,,i,n,pin,bin,bin
p,,i,ŋ,piŋ,bing,bing
p,,u,,pu,bu,bu
#p,,ʊ,ŋ,pʊŋ,bong,bong
#p,,y,,py,bü,bv
#p,,y,n,pyn,bün,bvn
p,,ə,,puo,bo,bo
p,,ə,i,pei,bei,bei
#p,,ə,u,pou,bou,bou
p,,ə,n,pən,ben,ben
p,,ə,ŋ,pəŋ,beng,beng
p,,a,,pa,ba,ba
p,,a,i,pai,bai,bai
p,,a,u,pau,bao,bao
p,,a,n,pan,ban,ban
p,,a,ŋ,paŋ,bang,bang
#p,j,ʊ,ŋ,pjʊŋ,biong,biong
p,j,ə,,pjɛ,bie,bie
#p,j,ə,u,pjou,biu,biu
#p,j,a,,pja,bia,bia
p,j,a,u,pjau,biao,biao
p,j,a,n,pjɛn,bian,bian
p,j,a,ŋ,pjaŋ,biang,biang
#p,w,ə,,puo,buo,buo
#p,w,ə,i,puei,bui,bui
#p,w,ə,n,puən,bun,bun
#p,w,ə,ŋ,puəŋ,bueng,bueng
#p,w,a,,pua,bua,bua
#p,w,a,i,puai,buai,buai
#p,w,a,n,puan,buan,buan
#p,w,a,ŋ,puaŋ,buang,buang
#p,ɥ,ə,,pyɛ,büe,bve
#p,ɥ,a,n,pyɛn,büan,bvan
#pʰ,,,,pʰ,p,p
pʰ,,i,,pʰi,pi,pi
pʰ,,i,n,pʰin,pin,pin
pʰ,,i,ŋ,pʰiŋ,ping,ping
pʰ,,u,,pʰu,pu,pu
#pʰ,,ʊ,ŋ,pʰʊŋ,pong,pong
#pʰ,,y,,pʰy,pü,pv
#pʰ,,y,n,pʰyn,pün,pvn
pʰ,,ə,,pʰuo,po,po
pʰ,,ə,i,pʰei,pei,pei
pʰ,,ə,u,pʰou,pou,pou #!
pʰ,,ə,n,pʰən,pen,pen #!
pʰ,,ə,ŋ,pʰəŋ,peng,peng
pʰ,,a,,pʰa,pa,pa
pʰ,,a,i,pʰai,pai,pai
pʰ,,a,u,pʰau,pao,pao
pʰ,,a,n,pʰan,pan,pan
pʰ,,a,ŋ,pʰaŋ,pang,pang
#pʰ,j,ʊ,ŋ,pʰjʊŋ,piong,piong
pʰ,j,ə,,pʰjɛ,pie,pie #!
#pʰ,j,ə,u,pʰjou,piu,piu
#pʰ,j,a,,pʰja,pia,pia
pʰ,j,a,u,pʰjau,piao,piao
pʰ,j,a,n,pʰjɛn,pian,pian
#pʰ,j,a,ŋ,pʰjaŋ,piang,piang
#pʰ,w,ə,,pʰuo,puo,puo
#pʰ,w,ə,i,pʰuei,pui,pui
#pʰ,w,ə,n,pʰuən,pun,pun
#pʰ,w,ə,ŋ,pʰuəŋ,pueng,pueng
#pʰ,w,a,,pʰua,pua,pua
#pʰ,w,a,i,pʰuai,puai,puai
#pʰ,w,a,n,pʰuan,puan,puan
#pʰ,w,a,ŋ,pʰuaŋ,puang,puang
#pʰ,ɥ,ə,,pʰyɛ,püe,pve
#pʰ,ɥ,a,n,pʰyɛn,püan,pvan
m,,,,m,m,m #!
m,,i,,mi,mi,mi
m,,i,n,min,min,min
m,,i,ŋ,miŋ,ming,ming
m,,u,,mu,mu,mu
#m,,ʊ,ŋ,mʊŋ,mong,mong
#m,,y,,my,mü,mv
#m,,y,n,myn,mün,mvn
m,,ə,,muo,mo,mo
m,,ə,i,mei,mei,mei
m,,ə,u,mou,mou,mou #!
m,,ə,n,mən,men,men
m,,ə,ŋ,məŋ,meng,meng
m,,a,,ma,ma,ma
m,,a,i,mai,mai,mai
m,,a,u,mau,mao,mao
m,,a,n,man,man,man
m,,a,ŋ,maŋ,mang,mang
#m,j,ʊ,ŋ,mjʊŋ,miong,miong
m,j,ə,,mjɛ,mie,mie #!
m,j,ə,u,mjou,miu,miu #!
#m,j,a,,mja,mia,mia
m,j,a,u,mjau,miao,miao
m,j,a,n,mjɛn,mian,mian
#m,j,a,ŋ,mjaŋ,miang,miang
#m,w,ə,,muo,muo,muo
#m,w,ə,i,muei,mui,mui
#m,w,ə,n,muən,mun,mun
#m,w,ə,ŋ,muəŋ,mueng,mueng
#m,w,a,,mua,mua,mua
#m,w,a,i,muai,muai,muai
#m,w,a,n,muan,muan,muan
#m,w,a,ŋ,muaŋ,muang,muang
#m,ɥ,ə,,myɛ,müe,mve
#m,ɥ,a,n,myɛn,müan,mvan
#f,,,,f,f,f
#f,,i,,fi,fi,fi
#f,,i,n,fin,fin,fin
#f,,i,ŋ,fiŋ,fing,fing
f,,u,,fu,fu,fu
#f,,ʊ,ŋ,fʊŋ,fong,fong
#f,,y,,fy,fü,fv
#f,,y,n,fyn,fün,fvn
f,,ə,,fuo,fo,fo #!
f,,ə,i,fei,fei,fei
f,,ə,u,fou,fou,fou #!
f,,ə,n,fən,fen,fen
f,,ə,ŋ,fəŋ,feng,feng
f,,a,,fa,fa,fa
#f,,a,i,fai,fai,fai
#f,,a,u,fau,fao,fao
f,,a,n,fan,fan,fan
f,,a,ŋ,faŋ,fang,fang
#f,j,ʊ,ŋ,fjʊŋ,fiong,fiong
